car_id,car_type,daily_fee,options
1,트럭,102000,"주차감지센서,열선시트"
2,SUV,148000,"주차감지센서,후방카메라"
3,세단,55000,"스마트키,통풍시트,가죽시트"
4,SUV,150000,"주차감지센서,스마트키,열선시트,후방카메라,가죽시트"
5,SUV,127000,"주차감지센서,스마트키"
6,트럭,133000,"주차감지센서,스마트키"
7,승합차,150000,"스마트키,통풍시트,열선시트,후방카메라"
8,트럭,107000,"주차감지센서,통풍시트,열선시트"
9,SUV,84000,"주차감지센서,스마트키"
10,세단,162000,"주차감지센서,스마트키,후방카메라"
11,승합차,122000,"열선시트,후방카메라"
12,트럭,142000,후방카메라
13,승합차,144000,네비게이션
14,SUV,77000,"주차감지센서,스마트키,열선시트,후방카메라"
15,승합차,114000,"주차감지센서,통풍시트,후방카메라"
16,세단,168000,"주차감지센서,열선시트,후방카메라"
17,SUV,107000,"스마트키,후방카메라"
18,SUV,22000,"주차감지센서,스마트키,열선시트,후방카메라"
19,SUV,79000,"주차감지센서,스마트키,열선시트,후방카메라"
20,트럭,168000,"주차감지센서,통풍시트"
21,리무진,250000,"주차감지센서,스마트키,통풍시트,후방카메라"
22,세단,186000,"주차감지센서,스마트키,통풍시트"
23,세단,50000,"스마트키,네비게이션,열선시트"
24,세단,184000,"주차감지센서,스마트키,열선시트,후방카메라"
25,세단,115000,"주차감지센서,열선시트"
26,SUV,126000,"주차감지센서,통풍시트"
27,SUV,23000,"주차감지센서,스마트키,통풍시트"
28,리무진,298000,"주차감지센서,스마트키,네비게이션,열선시트,후방카메라,가죽시트"
29,SUV,88000,"주차감지센서,후방카메라"
30,트럭,140000,"주차감지센서,스마트키"
