FACTORY_ID,FACTORY_NAME,ADDRESS,TLNO
FT19980001,(주)맛있는라면,경기도 동두천시 강변로850번길 120,031-231-1032
FT19980002,(주)맛있는기름,충청북도 음성군 생극면 음성로 1506-275,043-641-9900
FT19980003,(주)맛있는라면,강원도 정선군 남면 칠현로 679,033-431-3122
FT19980004,(주)맛있는기름,경기도 평택시 포승읍 포승공단순환로 245,031-651-2410
FT20000001,(주)맛있는소스,경기도 안양시 동안구 흥안대로 405,031-221-7211
FT20000002,(주)맛있는통조림,경기도 파주시 파주읍 파발로 65,031-641-1900
FT20010001,(주)맛있는소스,경상북도 구미시 1공단로7길 58-11,054-231-2121
FT20010002,(주)맛있는통조림,전라남도 영암군 미암면 곤미현로 1336,061-341-5210
FT20020001,(주)맛있는차,충청남도 논산시 은진면 관촉로58번길 138,041-241-1420
FT20020002,(주)맛있는김치,경기도 평택시 포승읍 포승공단로 2,031-541-5400
FT20040001,(주)맛있는음료,경기도 평택시 안중읍 서해로 1427,031-722-2430
FT20040002,(주)맛있는국,경상남도 거제시 사등면 거제대로 5382,055-351-1240
FT20070001,(주)맛있는라면,경상북도 경산시 하양읍 대경로 541,054-423-3122
FT20070002,(주)맛있는기름,대전광역시 대덕구 신일서로67번길 57,042-121-2410
FT20070009,(주)맛있는소스,부산광역시 영도구 봉래길 113,051-551-7721
FT20080002,(주)맛있는통조림,부산광역시 사하구 다대로170번길,051-841-5810
FT20080003,(주)맛있는차,전라남도 무안군 삼향읍 왕산로 91,061-221-9920
FT20090001,(주)맛있는밥,경기도 안성시 공단2로 29,031-761-1359
FT20090002,(주)맛있는과자,부산광역시 강서구 녹산산단261로73번길 48,051-821-4259
FT20100001,(주)맛있는차,전라남도 장성군 서삼면 장산리 233-1번지,061-661-1420
FT20100002,(주)맛있는김치,충청남도 아산시 탕정면 탕정면로 485,041-241-5421
FT20100003,(주)맛있는음료,강원도 원주시 문막읍 문막공단길 154,033-232-7630
FT20100004,(주)맛있는국,강원도 평창군 봉평면 진조길 227-35,033-323-6640
FT20110001,(주)맛있는밥,경기도 화성시 팔탄면 가재리 34번지,031-661-1532
FT20110002,(주)맛있는과자,광주광역시 북구 하서로 222,062-211-7759
FT20150004,(주)맛있는김치,전라북도 익산시 석암로7길 31-17,063-981-5421
FT20150005,(주)맛있는음료,전라북도 익산시 석암로11길 99,063-932-1672
FT20160005,(주)맛있는국,전라남도 광양시 옥곡면 신금산단1길 4,061-923-6940
FT20180005,(주)맛있는밥,충청남도 천안시 서북구 성거읍 천흥8길 67,041-861-1432
FT20200005,(주)맛있는과자,충청북도 청주시 흥덕구 공단로 48,043-911-5759
