user_id,gender,age,joined
1,1,25,2021-06-03 0:00
2,1,24,2021-06-06 0:00
3,1,31,2021-06-09 0:00
4,1,23,2021-06-09 0:00
5,1,22,2021-06-11 0:00
6,0,40,2021-06-11 0:00
7,1,36,2021-06-13 0:00
8,1,32,2021-06-13 0:00
9,0,23,2021-06-15 0:00
10,0,24,2021-06-15 0:00
11,1,38,2021-06-16 0:00
12,0,35,2021-06-16 0:00
13,1,31,2021-06-17 0:00
14,1,34,2021-06-20 0:00
15,0,29,2021-06-20 0:00
16,0,25,2021-06-22 0:00
17,0,27,2021-06-23 0:00
18,1,29,2021-06-26 0:00
19,1,26,2021-06-26 0:00
20,0,29,2021-06-29 0:00
21,0,29,2021-07-01 0:00
22,0,29,2021-07-01 0:00
23,1,33,2021-07-04 0:00
24,0,24,2021-07-06 0:00
25,1,30,2021-07-06 0:00
26,1,29,2021-07-08 0:00
27,1,22,2021-07-09 0:00
28,1,21,2021-07-10 0:00
29,1,30,2021-07-10 0:00
30,1,20,2021-07-11 0:00
31,,25,2021-07-11 0:00
32,1,44,2021-07-14 0:00
33,1,24,2021-07-14 0:00
34,1,24,2021-07-17 0:00
35,1,37,2021-07-18 0:00
36,1,24,2021-07-21 0:00
37,0,,2021-07-22 0:00
38,0,24,2021-07-24 0:00
39,0,26,2021-07-24 0:00
40,1,23,2021-07-27 0:00
41,1,29,2021-07-28 0:00
42,0,40,2021-07-28 0:00
43,1,23,2021-07-31 0:00
44,1,41,2021-08-01 0:00
45,1,41,2021-08-01 0:00
46,0,39,2021-08-03 0:00
47,1,24,2021-08-03 0:00
48,1,24,2021-08-05 0:00
49,1,20,2021-08-07 0:00
50,1,28,2021-08-08 0:00
51,1,37,2021-08-08 0:00
52,0,44,2021-08-09 0:00
53,0,25,2021-08-09 0:00
54,0,25,2021-08-12 0:00
55,1,25,2021-08-14 0:00
56,1,40,2021-08-14 0:00
57,1,27,2021-08-17 0:00
58,1,41,2021-08-17 0:00
59,0,21,2021-08-19 0:00
60,,20,2021-08-19 0:00
61,1,29,2021-08-21 0:00
62,1,25,2021-08-24 0:00
63,0,20,2021-08-24 0:00
64,0,29,2021-08-25 0:00
65,1,29,2021-08-27 0:00
66,0,27,2021-08-27 0:00
67,1,20,2021-08-29 0:00
68,0,20,2021-08-30 0:00
69,0,33,2021-08-30 0:00
70,1,27,2021-09-01 0:00
71,1,36,2021-09-01 0:00
72,1,33,2021-09-04 0:00
73,0,26,2021-09-06 0:00
74,1,27,2021-09-07 0:00
75,0,26,2021-09-07 0:00
76,1,36,2021-09-09 0:00
77,1,30,2021-09-12 0:00
78,0,21,2021-09-13 0:00
79,1,32,2021-09-15 0:00
80,0,30,2021-09-15 0:00
81,0,38,2021-09-16 0:00
82,1,27,2021-09-16 0:00
83,1,34,2021-09-19 0:00
84,1,33,2021-09-22 0:00
85,0,27,2021-09-22 0:00
86,0,28,2021-09-25 0:00
87,1,38,2021-09-28 0:00
88,0,30,2021-09-28 0:00
89,1,24,2021-10-01 0:00
90,0,20,2021-10-01 0:00
91,0,24,2021-10-02 0:00
92,0,21,2021-10-02 0:00
93,1,34,2021-10-03 0:00
94,0,43,2021-10-03 0:00
95,0,22,2021-10-04 0:00
96,1,21,2021-10-07 0:00
97,0,35,2021-10-10 0:00
98,1,20,2021-10-10 0:00
99,0,30,2021-10-11 0:00
100,0,41,2021-10-11 0:00
101,1,31,2021-10-12 0:00
102,0,29,2021-10-12 0:00
103,0,23,2021-10-15 0:00
104,0,38,2021-10-15 0:00
105,0,21,2021-10-17 0:00
106,1,20,2021-10-17 0:00
107,1,36,2021-10-20 0:00
108,1,24,2021-10-20 0:00
109,1,23,2021-10-22 0:00
110,1,,2021-10-24 0:00
111,0,37,2021-10-26 0:00
112,1,24,2021-10-26 0:00
113,0,32,2021-10-28 0:00
114,0,37,2021-10-31 0:00
115,1,24,2021-10-31 0:00
116,1,28,2021-11-02 0:00
117,0,25,2021-11-02 0:00
118,1,26,2021-11-05 0:00
119,1,30,2021-11-06 0:00
120,0,38,2021-11-06 0:00
121,0,29,2021-11-09 0:00
122,1,23,2021-11-09 0:00
123,0,23,2021-11-11 0:00
124,1,27,2021-11-11 0:00
125,0,22,2021-11-12 0:00
126,0,31,2021-11-14 0:00
127,1,24,2021-11-17 0:00
128,1,23,2021-11-20 0:00
129,0,21,2021-11-20 0:00
130,1,23,2021-11-21 0:00
131,1,29,2021-11-21 0:00
132,1,22,2021-11-23 0:00
133,1,22,2021-11-26 0:00
134,0,27,2021-11-26 0:00
135,1,40,2021-11-29 0:00
136,0,33,2021-11-30 0:00
137,1,22,2021-12-01 0:00
138,0,41,2021-12-01 0:00
139,0,37,2021-12-04 0:00
140,1,23,2021-12-06 0:00
141,1,29,2021-12-06 0:00
142,1,40,2021-12-09 0:00
143,0,25,2021-12-12 0:00
144,1,23,2021-12-13 0:00
145,0,26,2021-12-16 0:00
146,1,42,2021-12-16 0:00
147,1,22,2021-12-18 0:00
148,1,27,2021-12-18 0:00
149,1,33,2021-12-19 0:00
150,1,26,2021-12-22 0:00
151,1,33,2021-12-25 0:00
152,0,25,2021-12-25 0:00
153,0,25,2021-12-26 0:00
154,0,,2021-12-26 0:00
155,1,36,2021-12-27 0:00
156,1,,2021-12-27 0:00
157,0,22,2021-12-30 0:00
158,1,30,2021-12-30 0:00
159,0,22,2022-01-02 0:00
160,0,33,2022-01-03 0:00
161,0,32,2022-01-05 0:00
162,0,28,2022-01-07 0:00
163,1,36,2022-01-07 0:00
164,1,22,2022-01-08 0:00
165,1,24,2022-01-10 0:00
166,1,39,2022-01-10 0:00
167,,42,2022-01-13 0:00
168,0,32,2022-01-16 0:00
169,,28,2022-01-19 0:00
170,1,25,2022-01-20 0:00
171,1,21,2022-01-20 0:00
172,0,21,2022-01-22 0:00
173,0,21,2022-01-22 0:00
174,1,26,2022-01-25 0:00
175,0,21,2022-01-27 0:00
176,1,40,2022-01-27 0:00
177,1,24,2022-01-30 0:00
178,1,43,2022-01-30 0:00
179,1,31,2022-01-31 0:00
180,0,20,2022-02-03 0:00
181,1,21,2022-02-03 0:00
182,0,34,2022-02-05 0:00
183,1,25,2022-02-06 0:00
184,,21,2022-02-09 0:00
185,0,32,2022-02-11 0:00
186,1,20,2022-02-13 0:00
187,1,34,2022-02-14 0:00
188,0,23,2022-02-14 0:00
189,0,36,2022-02-15 0:00
190,1,24,2022-02-15 0:00
191,0,32,2022-02-17 0:00
192,0,28,2022-02-17 0:00
193,1,34,2022-02-19 0:00
194,1,27,2022-02-21 0:00
195,1,24,2022-02-24 0:00
196,0,30,2022-02-24 0:00
197,0,39,2022-02-27 0:00
198,1,43,2022-03-02 0:00
199,0,28,2022-03-03 0:00
200,0,21,2022-03-03 0:00
